title,source,csv file,git hub csv file,pdf link,pdf name,year
List of NGOs and their activities (Supported by different donor agencies),Social Welfare Council Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/NGOs Approval list 2070 shrawan to 71 Baisakh 1.csv&nid=5195,https://github.com/opennepal/odp-ngo-ingos/tree/master/List of NGOs and their activities (Supported by different donor agencies)/data.csv,http://www.swc.org.np/SWC rel Doc/NGOs Approval list 2070 shrawan to 71 Baisakh.pdf,NGOs Approval list 2070 shrawan to 71 Baisakh.pdf,
"NGOs affiliated with Social Welfare Council (2034 - 2067 B.S)","Social Welfare Council Nepal",http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/NGO.csv&nid=4504,"https://github.com/opennepal/odp-ngo-ingos/tree/master/NGOs affiliated with Social Welfare Council (2034 - 2067 B.S)/data.csv",http://www.swc.org.np/swcsector/AIDs_Abuse_Control.pdf;http://www.swc.org.np/swcsector/Child_Welfare.pdf;http://www.swc.org.np/swcsector/Community_and_Rural_Dev.pdf;http://www.swc.org.np/swcsector/Educational_Development.pdf;http://www.swc.org.np/swcsector/Environmental_Protection.pdf;http://www.swc.org.np/swcsector/Handicapped_and_Disabled.pdf;http://www.swc.org.np/swcsector/Health_Service.pdf;http://www.swc.org.np/swcsector/Moral_Development.pdf;http://www.swc.org.np/swcsector/Women_Services.pdf;http://www.swc.org.np/swcsector/Youth_Service.pdf,AIDs_Abuse_Control.pdf;Child_Welfare.pdf;Community_and_Rural_Dev.pdf;Educational_Development.pdf;Environmental_Protection.pdf;Handicapped_and_Disabled.pdf;Health_Service.pdf;Moral_Development.pdf;Women_Services.pdf;Youth_Service.pdf,
NGO Federation of Nepal member organisations from Far-Western Region,NGO Federation of Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/farwestern.csv&nid=133,https://github.com/opennepal/odp-ngo-ingos/tree/master/NGO Federation of Nepal member organisations from Far-Western Region/data.csv,,,
NGO Federation of Nepal member organisations from Mid-Western Region,NGO Federation of Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/midwestern.csv&nid=132,https://github.com/opennepal/odp-ngo-ingos/tree/master/NGO Federation of Nepal member organisations from Mid-Western Region/data.csv,,,
NGO Federation of Nepal member organisations from Western Region,NGO Federation of Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/western.csv&nid=131,https://github.com/opennepal/odp-ngo-ingos/tree/master/NGO Federation of Nepal member organisations from Western Region/data.csv,,,
NGO Federation of Nepal member organisations from Central Region,NGO Federation of Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/central.csv&nid=130,https://github.com/opennepal/odp-ngo-ingos/tree/master/NGO Federation of Nepal member organisations from Central Region/data.csv,,,
NGO Federation of Nepal member organisations from Eastern Region,NGO Federation of Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/eastern.csv&nid=129,https://github.com/opennepal/odp-ngo-ingos/tree/master/NGO Federation of Nepal member organisations from Eastern Region/data.csv,,,
INGOs Working in Nepal,Social Welfare Council Nepal,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/SWC_INGOs.csv&nid=124,https://github.com/opennepal/odp-ngo-ingos/tree/master/INGOs Working in Nepal/data.csv,,,
